"IID","SuperPop","Pop","PRS_COG_Dir","PRS_COG_Pop"
"HG00096","EUR","GBR",0.305583771243333,-0.390125928914131
"HG00097","EUR","GBR",-1.03936970562655,-1.59247500866024
"HG00099","EUR","GBR",0.7809772987876,-1.4748517862094
"HG00100","EUR","GBR",0.174542053919914,-1.41223005304005
"HG00101","EUR","GBR",0.79454091891653,-1.51954049625061
"HG00102","EUR","GBR",-0.124458462417658,-0.856074704259692
"HG00103","EUR","GBR",-0.951442860326139,-1.24922248744187
"HG00105","EUR","GBR",-0.0433405397665226,-1.36786592260297
"HG00106","EUR","GBR",-0.789020158020472,-1.90016909656536
"HG00107","EUR","GBR",1.61816995126205,-1.02848180012108
"HG00108","EUR","GBR",0.184617676652101,-0.879710738568551
"HG00109","EUR","GBR",-0.137956133015977,-1.86886191838528
"HG00110","EUR","GBR",0.0100126304975167,-0.281731094753411
"HG00111","EUR","GBR",0.405504637844135,-1.48590962317734
"HG00112","EUR","GBR",0.486380745549697,-1.6249993603558
"HG00113","EUR","GBR",0.673047228080413,-1.80908763356124
"HG00114","EUR","GBR",0.159725392709381,-1.77727145554742
"HG00115","EUR","GBR",1.08095240263309,-1.04189210153804
"HG00116","EUR","GBR",-0.41477562389149,-0.9889811999795
"HG00117","EUR","GBR",0.611406400136298,-1.4741731197644
"HG00118","EUR","GBR",0.226561578120493,-1.63069425704643
"HG00119","EUR","GBR",-0.299371273048425,-1.07738783197322
"HG00120","EUR","GBR",-1.08494376236877,-1.98596876419318
"HG00121","EUR","GBR",0.361728804969891,-0.509126696712133
"HG00122","EUR","GBR",-0.586053882613046,-0.989376596951802
"HG00123","EUR","GBR",1.45715783613889,-1.37915244065563
"HG00125","EUR","GBR",0.686200495574431,-1.31545369334532
"HG00126","EUR","GBR",0.778610443411239,-0.914211337444709
"HG00127","EUR","GBR",-0.301950632467865,-1.42527962848788
"HG00128","EUR","GBR",0.852876942604487,-1.67429857613749
"HG00129","EUR","GBR",-0.201194405145994,-1.37413621041
"HG00130","EUR","GBR",-1.56570997834012,-2.05221988748143
"HG00131","EUR","GBR",0.0430167067053498,-0.549307844385054
"HG00132","EUR","GBR",0.566575374772283,-0.659516672808349
"HG00133","EUR","GBR",0.434500448135963,-0.959066763373501
"HG00136","EUR","GBR",-1.25682655845426,-0.50029916423311
"HG00137","EUR","GBR",-0.386703107028211,-2.02367901274563
"HG00138","EUR","GBR",0.493869681136821,-0.82301774694099
"HG00139","EUR","GBR",0.935570326264655,-0.995364352967064
"HG00140","EUR","GBR",1.57850497246254,-0.294009793641428
"HG00141","EUR","GBR",-1.58204860816264,-1.6277582869909
"HG00142","EUR","GBR",0.391215572878488,-0.726131472789399
"HG00143","EUR","GBR",0.871379449803594,-1.64464380321479
"HG00145","EUR","GBR",-0.792993250853484,-1.68531952905951
"HG00146","EUR","GBR",0.839474532439272,-0.462315383596096
"HG00148","EUR","GBR",0.106423516524706,-0.735510347986891
"HG00149","EUR","GBR",0.192560931227876,-1.11451531260007
"HG00150","EUR","GBR",0.507455284442621,-0.422237179295348
"HG00151","EUR","GBR",0.89134017440176,-1.73508348381983
"HG00154","EUR","GBR",1.487179528018,-0.939159706107534
"HG00155","EUR","GBR",-0.100005842012343,-1.38720791628538
"HG00157","EUR","GBR",0.374838106110169,-0.991159571731756
"HG00158","EUR","GBR",1.09225175554438,-0.628098842490498
"HG00159","EUR","GBR",0.868455687279854,-1.28158528701629
"HG00160","EUR","GBR",-0.0125421089713355,-0.603314829136309
"HG00171","EUR","FIN",1.15420034796468,0.721784945588778
"HG00173","EUR","FIN",-0.0580619405439508,0.4961135990089
"HG00174","EUR","FIN",-0.12110969180776,-0.203692568068857
"HG00176","EUR","FIN",0.366235356228287,0.286132725564985
"HG00177","EUR","FIN",-1.13144697472005,-0.461334267974524
"HG00178","EUR","FIN",-2.04747276499626,-2.10247808845713
"HG00179","EUR","FIN",0.078622125509493,0.0722251765920282
"HG00180","EUR","FIN",-1.86884113361161,-0.127461359634567
"HG00181","EUR","FIN",-2.10536253019375,-1.22842652466914
"HG00182","EUR","FIN",0.420687685335838,-0.0997953744680802
"HG00183","EUR","FIN",0.0320764123496005,-0.238050056846831
"HG00185","EUR","FIN",0.225220604331409,-0.587031629382351
"HG00186","EUR","FIN",-0.887408064420857,-0.804188441496915
"HG00187","EUR","FIN",-0.344619978772974,1.0116271552668
"HG00188","EUR","FIN",-0.184076838089712,-0.174794655768517
"HG00189","EUR","FIN",-1.91613574033022,-0.225986023106091
"HG00190","EUR","FIN",0.30628723290318,-0.911169141336918
"HG00231","EUR","GBR",1.53467051778331,-1.17578340128401
"HG00232","EUR","GBR",0.772484464790069,-1.55828349808892
"HG00233","EUR","GBR",0.551223789591242,-1.33307689048768
"HG00234","EUR","GBR",0.276023726078502,-1.24825907616234
"HG00235","EUR","GBR",1.5380485992957,-1.12880271662909
"HG00236","EUR","GBR",0.600011786791897,-1.17939730010362
"HG00237","EUR","GBR",1.62722702013259,-0.261727401287124
"HG00238","EUR","GBR",-0.0883107919173822,-1.29633300393844
"HG00239","EUR","GBR",1.60944263004457,-0.275400317111059
"HG00240","EUR","GBR",-1.26730520609574,-1.53272285426376
"HG00242","EUR","GBR",1.63145511781729,-1.25992328684527
"HG00243","EUR","GBR",0.259030730357817,-1.19765268979312
"HG00244","EUR","GBR",0.146300999367296,-1.34525600245171
"HG00245","EUR","GBR",-0.302419606907763,-1.31495944712994
"HG00246","EUR","GBR",-1.42898341147807,-1.0035909705699
"HG00250","EUR","GBR",-0.590912164701366,-1.18894141582685
"HG00251","EUR","GBR",0.710799670492214,-0.81488112641021
"HG00252","EUR","GBR",-1.35812005461884,-1.78281143924516
"HG00253","EUR","GBR",-0.412372129887012,-2.31960709000107
"HG00254","EUR","GBR",-0.258189455044868,-1.65747207438707
"HG00255","EUR","GBR",-0.637733400344699,-1.77644525291872
"HG00256","EUR","GBR",1.22256802803108,-0.685401158556719
"HG00257","EUR","GBR",-0.21889819025215,-1.06958021713208
"HG00258","EUR","GBR",0.462441065938021,-1.48498014522006
"HG00259","EUR","GBR",0.988198051691977,-1.13182130694749
