"IID","SuperPop","Pop","PRS_COG_Dir","PRS_COG_Pop"
"HG00186","EUR","FIN",0.465884752380229,-0.77663089865532
"HG00187","EUR","FIN",0.498391707839805,0.0107623999402557
"HG00188","EUR","FIN",1.80017585707957,0.470360329840962
"HG00189","EUR","FIN",0.133941304542247,0.202280646888708
"HG00190","EUR","FIN",0.319280289996779,-0.18320774154883
"HG00231","EUR","GBR",-0.155816225630958,0.166484162564068
"HG00232","EUR","GBR",-0.407596227868079,-0.147087865857919
"HG00233","EUR","GBR",-1.23974440883278,-0.696988424907414
"HG00234","EUR","GBR",-0.104090518068323,0.025132736288715
"HG00235","EUR","GBR",-0.524616942959331,-0.227053730972096
"HG00236","EUR","GBR",0.326335225181179,0.829143059251877
"HG00237","EUR","GBR",-0.207976355226402,0.0903460752579306
"HG00238","EUR","GBR",0.722399758203916,0.654016638683226
"HG00239","EUR","GBR",-0.957987320621269,-1.27629407891544
"HG00240","EUR","GBR",-1.12921250428589,1.38526331625121
"HG00242","EUR","GBR",0.0295738682980226,1.0980926649794
"HG00243","EUR","GBR",0.215522224024821,1.41115050112902
"HG00244","EUR","GBR",0.259619008920792,2.3484351100067
"HG00245","EUR","GBR",-0.219927875405045,-0.00954069801851278
"HG00246","EUR","GBR",0.219770124535685,-0.0775587221097477
"HG00250","EUR","GBR",1.09877494801656,1.25495835106336
"HG00251","EUR","GBR",0.620553345747374,2.11581676032677
"HG00252","EUR","GBR",-1.23257742814671,-1.6590130612891
"HG00253","EUR","GBR",0.33373219400227,0.868269298680499
"HG00254","EUR","GBR",-0.288857481751148,1.55028111069454
"HG00255","EUR","GBR",0.188501566726198,0.427878463999056
"HG00256","EUR","GBR",0.472609251620216,-0.243170380698416
"HG00257","EUR","GBR",1.07303986542136,-0.255618008378322
"HG00258","EUR","GBR",-0.667976213786379,-0.0620712155868991
"HG00259","EUR","GBR",-0.859774524126935,-0.179238847508237
"HG00260","EUR","GBR",-0.364187441666603,-0.34195762332954
"HG00261","EUR","GBR",-0.709948065571641,0.575292008431226
"HG00262","EUR","GBR",0.534078593265334,-1.22919065645737
"HG00263","EUR","GBR",-0.406520984194113,-1.44379904695755
"HG00264","EUR","GBR",-1.83503429638867,-2.53378082720796
"HG00265","EUR","GBR",-0.300718579244229,0.17623294229637
"HG00266","EUR","FIN",-0.500483914467028,0.314573888943895
"HG00267","EUR","FIN",-0.97110057573833,-1.07742014834509
"HG00268","EUR","FIN",-1.30657660201596,0.104981004542429
"HG00269","EUR","FIN",-0.186013471187589,-0.100548908330073
"HG00271","EUR","FIN",-0.934534427981238,-0.979802994475559
"HG00272","EUR","FIN",-0.210288030839903,0.0316828814164497
"HG00273","EUR","FIN",-0.609311547962131,0.481549671113923
"HG00274","EUR","FIN",0.191876691750331,1.25424159819884
"HG00275","EUR","FIN",0.180758632847304,0.532933619292805
"HG00276","EUR","FIN",-0.305913952242938,-1.06479024553146
"HG00277","EUR","FIN",0.264346542807246,0.690152389950299
"HG00278","EUR","FIN",1.74684809541405,0.900560220594767
"HG00280","EUR","FIN",1.03476748090192,-0.175875577299023
"HG00281","EUR","FIN",-0.479973690528876,-0.612395123334057
"HG00282","EUR","FIN",-0.625365506070516,-0.954643146179709
"HG00284","EUR","FIN",0.0576953235078369,-1.1698160016101
"HG00285","EUR","FIN",-0.683226196277484,-1.48813306335173
"HG00288","EUR","FIN",-0.674881754968546,0.629784629616421
"HG00290","EUR","FIN",0.864729586412945,-0.169043199706179
"HG00304","EUR","FIN",-0.263637415321544,-0.281712751714845
"HG00306","EUR","FIN",0.28677923166887,0.112136773501544
"HG00308","EUR","FIN",-1.67276489001581,-1.32852472448965
"HG00309","EUR","FIN",-1.06167462101322,-0.109456870510072
"HG00310","EUR","FIN",0.01960968149119,0.838699568117323
"HG00311","EUR","FIN",0.857580297121872,1.90906971994848
"HG00313","EUR","FIN",1.36995651343842,-0.260815789610743
"HG00315","EUR","FIN",-1.15662040656399,0.0427722653580187
